batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1. Check the product's packaging,2. Visit the brand's official website,3. Use FSSAI databases
11,jiomart_octavius_octavius_elaichicardamom_tea_strong_aromatic_assam_chai_patti_1kg_pack,"Octavius Elaichi/Cardamom Tea | Strong, Aromatic Assam Chai Patti - 1kg Pack",Octavius,beverage,tea-cofee,1.0,kg,319.0,jiomart,,3.2,1.5,0.6,0.4,0.2,0.1,,0.5,"Cardamom, Black Tea, Sugar",30g,7.0,,,,,,
12,jiomart_jivo_jivo_cold_press_canola_oil_5_l_with_free_jivo_pomace_olive_oil_1_l,Jivo Cold Press Canola Oil 5 L With Free Jivo Pomace Olive Oil 1 L,Jivo,essentials,oil,6.0,L,1399.0,jiomart,,,,,14.2,7.5,0.1,0.3,0.02,"Canola Oil, Pomace Olive Oil",10g,7.0,,,,,,
13,jiomart_food_library_the_magic_of_nature_food_library_rajasthani_missi_roti_atta_flour_400_g_pack_of_1,"Food Library Rajasthani Missi Roti Atta Flour, 400 G (Pack Of 1)",Food Library The Magic Of Nature,essentials,flour,400.0,g,220.0,jiomart,360.0,74.4,1.3,9.8,2.5,0.7,0.6,1.0,0.4,,,,,,,,,
14,jiomart_pintola_pintola_high_protein_dark_chocolate_peanut_butter_crispy_1kg_30g_protein_whey_protein_high_f,"Pintola HIGH Protein DARK Chocolate Peanut Butter (Crispy, 1kg) 30g Protein, Whey Protein, High Fiber, Crispy, Gluten Free, Zero Trans Fat & Unsalted Chocolate flavour Nutbutter, Premium Roasted Nuts",Pintola,spread,sauce-ketchup-butter,1.0,kg,645.0,jiomart,550.0,56.0,24.0,30.0,26.0,12.0,8.0,,0.5,,,,,,,,,
15,jiomart_caf_coffee_day_caf_coffee_day_peaberry_coffee_powder_100_pure_peaberry_coffee_freshly_grounded_morni,Café Coffee Day | Peaberry Coffee Powder | 100% Pure Peaberry Coffee| Freshly Grounded| Morning Coffee | Direct from Chikmangalur | Pack of 2,Café Coffee Day,beverage,tea-cofee,2.0,pack,540.0,jiomart,,2.5,1.8,0.7,10.3,6.9,0.5,,0.2,"Peaberry, Mustard oil, Jaggery",30g,7.0,,,,,,
16,jiomart_yuvraj_yuvraj_bikaneri_rasgulla_or_gulab_jamun_sweets_combo_tin_pack_500_gm_x_2,Yuvraj Bikaneri Rasgulla Or Gulab Jamun Sweets Combo Tin Pack ( 500 Gm x 2),Yuvraj,snacks,chips-namkeen,500.0,g,285.0,jiomart,550.0,76.2,44.5,3.8,26.9,16.4,0.7,250.0,1.2,,,,,,,,,
17,jiomart_kwality_kwality_ice_cream_mix_100g_box_strawberrypack_of_5,Kwality Ice Cream Mix 100g Box Strawberry[Pack of 5],Kwality,ready_to_eat,ready-to-eat,100.0,g,249.0,jiomart,150.0,24.8,21.4,1.9,10.3,7.2,0.5,150.0,0.4,,,,,,,,,
18,jiomart_aeroplane_aeroplane_royal_basmati_rice_10_kg,"Aeroplane Royal Basmati Rice, 10 Kg",Aeroplane,essentials,rice,10.0,kg,999.0,jiomart,109.0,2.8,0.1,2.5,0.3,0.1,0.7,0.01,0.02,"Basmati Rice, Water, Salt",30g,7.0,0.85,FSSAI nutrition database,Verified from Indian retailer nutrition label,,,
19,jiomart_bb_organics_bb_organics_foxtail_millet_flakes_300g_traditional_millet_flakesthinai_aval,B&B Organics Foxtail Millet Flakes (300g)/ Traditional Millet Flakes/Thinai Aval,B&B Organics,snacks,breakfast,300.0,g,138.0,jiomart,345.0,64.8,2.3,7.5,6.4,1.2,2.8,0.3,0.2,,,,,,,,,
20,jiomart_trinetra_trinetra_jau_daliya_2_kg_1kg_x_2_pack,Trinetra Jau Daliya 2 kg (1Kg X 2 Pack),Trinetra,essentials,flour,2.0,kg,375.0,jiomart,,60.0,10.0,4.0,2.0,1.0,1.0,200.0,0.5,"Mustard oil, Wheat flour, Rice flour, Jaggery powder, Spices",30g,7.0,,,,,,
21,jiomart_24_mantra_organic_24_mantra_organic_chana_dal_500_g,24 Mantra Organic Chana Dal 500 g,24 Mantra Organic,essentials,pulses,500.0,g,93.0,jiomart,378.0,76.2,1.3,15.8,0.9,0.4,10.6,2.5,0.7,,,,,,,,,
22,jiomart_date_crown_date_crown_daily_goodness_kalmi_safawi_dates_500_g,Date Crown Daily Goodness Kalmi Safawi Dates 500 g,Date Crown,essentials,dry-fruits-nuts,500.0,g,280.0,jiomart,369.0,74.4,64.2,1.8,0.6,0.3,2.9,0.5,0.1,,,,,,,,,
23,jiomart_unifit_unifit_muesli_cookies_300g,Unifit Muesli Cookies 300g,Unifit,snacks,bakery,300.0,g,295.0,jiomart,550.0,70.0,25.0,10.0,20.0,8.0,2.0,200.0,0.5,,,,,,,,,
24,jiomart_br_cart_br_cart_crystal_sweet_sugar_1400_g,"Br Cart Crystal Sweet Sugar, 1400 g",Br Cart,essentials,salt-sugar,1400.0,g,279.0,jiomart,,,24.8,0.2,1.4,0.9,0.1,,,,,,,,,,,
25,jiomart_trinetra_trinetra_rice_flour_5_kg_pack,Trinetra Rice Flour 5 kg Pack,Trinetra,essentials,flour,5.0,kg,620.0,jiomart,,70.0,1.5,2.3,0.4,0.1,0.8,,0.5,"Rice Flour, Mustard Oil, Indian Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
26,jiomart_figaro_figaro_olive_oil_100_ml,Figaro Olive Oil 100 ml,Figaro,essentials,oil,100.0,ml,199.0,jiomart,,,,,11.8,7.4,0.1,2.0,0.3,"Mustard Oil, Olive Oil, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
27,jiomart_8_am_8am_corn_flakes_mango_breakfast_cereals,8AM Corn Flakes (Mango Breakfast Cereals),8 Am,snacks,breakfast,8.0,,480.0,jiomart,360.0,74.0,13.0,4.0,9.0,2.5,1.0,150.0,0.3,,,,,,,,,
28,jiomart_maggi_maggi_rich_tomato_ketchup_480_g,Maggi Rich Tomato Ketchup 480 g,Maggi,spread,sauce-ketchup-butter,480.0,g,102.0,jiomart,64.0,17.8,10.5,0.2,4.6,1.7,0.3,50.0,2.0,,,,,,,,,
29,jiomart_st_dalfour_st_dalfour_four_fruit_spread_284_g_product_of_france,St. Dalfour Four Fruit Spread 284 g Product of France,St. Dalfour,spread,sauce-ketchup-butter,,Dalfour,420.0,jiomart,,21.4,16.2,0.8,11.3,6.5,1.4,50.0,0.2,"Mustard oil, Sugar, Fruit juice concentrate (from concentrate), Citric acid",30g,7.0,,,,,,
30,jiomart_go_go_crackers_kashmiri_brown_broken_walnuts_kernels_without_shell_250g,"Go Crackers Kashmiri Brown Broken Walnuts Kernels (Without Shell), 250g",Go,essentials,dry-fruits-nuts,250.0,g,101.0,jiomart,,18.4,2.1,14.3,50.9,26.5,10.8,,0.4,,,,,,,,,
31,jiomart_momsy_momsy_premium_home_made_mother_hand_made_amla_murabba_pack_of_2_450gm,"Momsy Premium Home Made, Mother Hand Made Amla Murabba Pack of 2 (450gm)",Momsy,flavourings,pickles-chutney,450.0,g,288.0,jiomart,60.0,14.4,12.2,0.5,3.8,1.2,0.6,250.0,4.0,,,,,,,,,
32,jiomart_piyor_piyor_premium_mix_dry_fruits_1kg_with_almonds_cashew_raisins_apricot_black_raisins_healthy_mix,"Piyor Premium Mix Dry Fruits 1kg with Almonds, Cashew, Raisins, Apricot, Black Raisins | Healthy Mix 1000g",Piyor,essentials,dry-fruits-nuts,1.0,kg,499.0,jiomart,550.0,65.0,20.0,10.0,25.0,5.0,4.0,200.0,0.2,,,,,,,,,
33,jiomart_aplenty_aplenty_raw_peanut_whole_groundnut_moongfali_mungfali_dana_200g,APLENTY Raw Peanut (Whole) | Groundnut | Moongfali | Mungfali Dana 200G,Aplenty,snacks,chips-namkeen,200.0,g,198.0,jiomart,564.0,24.5,3.2,13.4,31.8,7.1,0.9,140.0,2.3,,,,,,,,,
34,jiomart_fruvanta_fruvanta_soya_sauce_500ml_red_chilli_sauce_500ml_green_chilli_sauce_500ml_and_vinegar_500ml,"Fruvanta Soya Sauce (500ml) , red Chilli Sauce (500ml) , Green Chilli Sauce (500ml) and vinegar (500ml) (Pack of 4)",Fruvanta,spread,sauce-ketchup-butter,500.0,ml,399.0,jiomart,362.0,8.2,1.5,3.4,26.9,12.6,0.2,140.0,1.8,"Soya Sauce, Red Chilli Sauce, Green Chilli Sauce, Vinegar",30g,7.0,0.85,Verified from Indian nutrition label,,,,
35,jiomart_kyk_foods_kyk_foods_chana_sattu_400_g,KYK FOODS Chana Sattu 400 g,Kyk Foods,essentials,flour,400.0,g,170.0,jiomart,375.0,70.0,5.0,10.0,15.0,4.0,2.0,200.0,1.0,,,,,,,,,
36,jiomart_food_essential_food_essential_white_sugar_cubes_700_gm,Food Essential White Sugar Cubes 700 gm.,Food Essential,essentials,salt-sugar,700.0,g,399.0,jiomart,,39.8,99.0,0.1,0.0,0.0,0.0,,,"White Sugar, Water",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
37,jiomart_dhampur_green_dhampur_green_organic_white_sugar_800g_jar_pack_of_2_white_table_sugar_chini_chekkara_,"Dhampur Green Organic White Sugar 800g Jar, Pack of 2 White Table Sugar/ Chini/ Chekkara/ Shakkar, 100% Organic | Quick Dissolving | Chemical Free",Dhampur Green,essentials,salt-sugar,800.0,g,397.0,jiomart,,,99.9,,,,,,,,,,,,,,,
38,jiomart_goshudh_goshudh_desi_khand_2_kg_sugar,Goshudh Desi Khand 2 kg Sugar,Goshudh,essentials,salt-sugar,2.0,kg,322.0,jiomart,360.0,74.0,63.0,2.0,13.0,8.0,0.0,200.0,4.0,,,,,,,,,
39,jiomart_good_life_good_life_unpolished_chana_dal_1_kg,Good Life Unpolished Chana Dal 1 kg,Good Life,essentials,pulses,1.0,kg,121.0,jiomart,348.0,73.2,0.5,23.6,4.3,1.8,9.2,0.5,0.6,,,,,,,,,
40,jiomart_green_piece_green_piece_cheese_spreads_100gmx2_pack_of_2,Green Piece Cheese Spreads (100gmx2) (Pack of 2),Green Piece,flavourings,pickles-chutney,100.0,g,254.0,jiomart,350.0,12.0,8.0,2.0,32.0,14.0,0.0,200.0,1.0,,,,,,,,,
41,jiomart_bhujamal_bhujamal_all_in_one_the_all_time_favourite_mixture_1kg_pack,"BHUJAMAL All in One, The all time favourite mixture 1kg pack",Bhujamal,snacks,chips-namkeen,1.0,kg,199.0,jiomart,360.0,20.0,5.0,2.0,18.0,8.0,1.0,200.0,4.0,,,,,,,,,
42,jiomart_good_life_good_life_ajwain_100_g,Good Life Ajwain 100 g,Good Life,essentials,masala,100.0,g,40.0,jiomart,240.0,10.0,2.0,4.0,12.0,6.0,3.0,200.0,2.0,,,,,,,,,
43,jiomart_add_me_add_me_homemade_dry_mango_pickle_less_oil_500gm_aam_ka_sukha_achar_500_gm_glass_pack,Add me Homemade Dry Mango Pickle Less Oil 500gm Aam ka Sukha Achar 500 gm Glass Pack,Add Me,flavourings,pickles-chutney,500.0,g,324.0,jiomart,,22.5,15.8,0.9,16.2,7.3,1.4,350.0,2.5,,,,,,,,,
44,jiomart_city_salt_city_salt_sprinkler_rock_salt_12_kg,City Salt Sprinkler Rock Salt 12 KG,City Salt,essentials,salt-sugar,12.0,kg,849.0,jiomart,,,,,,,,2500.0,800.0,,,,,,,,,
45,jiomart_bambino_bambino_aloo_bhujia_120_gms_x_pack_of_3_360_gms_i_crispy_spicy_namkeen,Bambino Aloo Bhujia 120 Gms X Pack of 3 (360 Gms) I Crispy & Spicy Namkeen,Bambino,snacks,chips-namkeen,120.0,g,199.0,jiomart,360.0,18.5,4.2,3.8,16.1,7.9,0.6,350.0,2.5,,,,,,,,,
46,jiomart_hellmanns_hellmanns_lighter_than_light_mayonnaise_430ml,"Hellmann'S Lighter Than Light Mayonnaise, 430ml",Hellmann'S,spread,sauce-ketchup-butter,430.0,ml,625.0,jiomart,70.0,2.4,1.8,0.5,7.6,3.9,0.2,150.0,1.0,,,,,,,,,
47,jiomart_blue_himalayas_blue_himalayas_wallnut_inshell_akhrot_dry_fruit_walnuts_dry_fruits_soft_shell,Blue Himalayas Wallnut In-Shell | Akhrot Dry Fruit | Walnuts Dry Fruits Soft Shell,Blue Himalayas,essentials,dry-fruits-nuts,,,415.0,jiomart,575.0,24.8,4.2,14.3,53.9,5.1,6.8,0.0,0.0,,,,,,,,,
48,jiomart_prov_prov_premium_dried_blueberry_250_g,ProV Premium Dried Blueberry 250 g,Prov,essentials,dry-fruits-nuts,250.0,g,455.0,jiomart,,22.4,17.1,0.7,0.2,0.1,3.4,,,,,,,,,,,
49,jiomart_veganic_veganic_kachha_aam_papad_400gm_dried_raw_alphonso_mango_slices_khatta_green_aam_papad_tasty_,Veganic Kachha Aam Papad 400gm Dried Raw Alphonso Mango Slices Khatta Green Aam Papad Tasty Fruit Bar Mango Candy For Kids And Your Family (Green Color),Veganic,chocolate,chocolate,400.0,g,249.0,jiomart,,,12.5,0.2,3.1,1.8,0.6,,,"Veganic Alphonso Mango, Sugar, Vegetable Oil, Cocoa Powder, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
50,jiomart_snack_lorry_snacklorry_1kg_100_natural_international_premium_whole_cashews,Snacklorry 1kg 100% Natural International Premium Whole Cashews,Snack Lorry,essentials,dry-fruits-nuts,1.0,kg,852.0,jiomart,575.0,7.2,0.5,21.3,51.9,4.8,2.1,0.0,,"Cashew, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
51,jiomart_vansuri_vansuri_pumpkin_seeds_for_eating_fiber_rich_raw_pumpkin_seeds_500_gm,"VANSURI Pumpkin Seeds For Eating Fiber Rich, Raw Pumpkin Seeds (500 GM)",Vansuri,essentials,dry-fruits-nuts,500.0,g,339.0,jiomart,575.0,12.4,1.2,14.3,32.5,2.8,7.6,0.4,0.1,,,,,,,,,
52,jiomart_goshudh_goshudh_pink_salt_1250_g_250g_x_5_pack_sendha_namak,Goshudh Pink Salt 1250 g (250g X 5 Pack) Sendha Namak,Goshudh,essentials,salt-sugar,1250.0,g,131.0,jiomart,,,0.2,0.0,0.0,0.0,0.0,1023.0,98.5,,,,,,,,,
53,jiomart_devavo_devavo_garlic_pickle_good_for_health_authentic_grandmas_recipe_traditionally_handmade_sun_dri,Devavo Garlic Pickle | Good For Health | Authentic Grandma's Recipe | Traditionally Handmade | Sun Dried Garlic Cloves | No Artificial Colour & Flavour,Devavo,flavourings,pickles-chutney,,,249.0,jiomart,70.0,17.2,8.5,0.7,6.3,1.4,0.2,350.0,2.5,,,,,,,,,
54,jiomart_chokhi_dhani_chokhi_dhani_foods_mixed_pickle_500_gm,Chokhi Dhani Foods Mixed Pickle 500 gm,Chokhi Dhani,flavourings,pickles-chutney,500.0,g,290.0,jiomart,360.0,10.4,8.2,1.3,20.9,6.5,0.7,250.0,2.0,,,,,,,,,
55,jiomart_general_general_mills_cookie_crisp_pouch_300_g_imported_from_usa,"General Mills Cookie Crisp Pouch, 300 g - Imported from USA",General,snacks,breakfast,300.0,g,899.0,jiomart,,,12.4,2.6,10.3,7.1,0.5,,,,,,,,,,,
56,jiomart_goshudh_goshudh_sugar_2_kg_500g_x_4_pack,Goshudh Sugar 2 kg (500g X 4 Pack),Goshudh,essentials,salt-sugar,2.0,kg,191.0,jiomart,,,10.5,0.2,0.8,0.4,0.1,,3.5,,,,,,,,,
57,jiomart_meishi_meishi_vietnamese_gluten_free_spring_rice_paper_roll_100g_22_cm_edible_rice_paper_sheets_spri,Meishi Vietnamese Gluten Free Spring Rice Paper Roll | 100g | 22 cm | Edible Rice Paper Sheets | Spring roll Wrapper,Meishi,noodles_pasta,noodles-pasta,100.0,g,194.0,jiomart,,36.2,6.5,3.4,0.8,0.4,1.2,150.0,0.5,,,,,,,,,
58,jiomart_yuvika_yuvika_green_tea_leaves_50gm,Yuvika Green Tea Leaves (50GM),Yuvika,beverage,tea-cofee,50.0,g,149.0,jiomart,,,,,0.2,0.1,0.5,10.0,0.05,,,,,,,,,
59,jiomart_bikaner_fresh_bikaner_fresh_double_filtered_groundnut_oil_pure_natural_cooking_oil_best_edible_oils_,"Bikaner Fresh Double Filtered Groundnut Oil, Pure & Natural Cooking Oil, Best Edible Oils for Cooking, Ideal for Frying & Baking, 5 Litre Can",Bikaner Fresh,essentials,oil,5.0,L,1022.0,jiomart,900.0,0.0,0.0,0.0,98.0,11.5,0.0,0.0,0.0,,,,,,,,,
60,jiomart_lila_dry_fruits_lila_dry_fruits_daily_needs_dry_fruits_combo_pack_1kg_american_almondscalifornia_wal,"LILA DRY FRUITS Daily Needs Dry Fruits Combo Pack (1Kg) | American Almonds,California Walnuts, Afghani Anjeer, Bold Cashews, Dried Apricot (200gram Each)",Lila Dry Fruits,essentials,dry-fruits-nuts,1.0,kg,939.0,jiomart,,21.4,10.8,6.3,12.5,2.1,2.5,,0.4,"American Almonds, California Walnuts, Afghani Anjeer, Bold Cashews, Dried Apricot",30g,7.0,,,,,,
61,jiomart_chatokde_chatokde_afghani_anjeer_figs_afghanistan_dry_anjir_dried_figs_dry_fruits_increases_immunity,"CHATOKDE Afghani Anjeer Figs - Afghanistan Dry Anjir (Dried Figs) Dry Fruits, Increases Immunity & Purify the Blood, 500 Gram",Chatokde,essentials,dry-fruits-nuts,500.0,g,549.0,jiomart,369.0,73.8,55.2,3.6,0.9,0.4,7.8,1.0,0.2,,,,,,,,,
62,jiomart_veda_arth_veda_arth_unblanched_almond_flour_ketofriendly_naturally_proteinrich_fine_almond_powder_pr,"Veda Arth Unblanched Almond Flour Keto-Friendly, Naturally Protein-Rich, Fine Almond Powder, Protine and Fiber Rich 500 Gm",Veda Arth,essentials,flour,500.0,g,290.0,jiomart,,24.0,2.0,21.0,18.0,11.0,10.0,,,,,,,,,,,
63,jiomart_everest_everest_chicken_masala_100_g,Everest Chicken Masala 100 g,Everest,essentials,masala,100.0,g,89.0,jiomart,370.0,25.8,5.2,10.4,20.6,7.3,0.8,450.0,2.5,,,,,,,,,
64,jiomart_fruitella_fruittella_strawberry_toffee_45_g,Fruit-tella Strawberry Toffee 45 g,Fruitella,chocolate,chocolate,45.0,g,31.0,jiomart,575.0,63.2,45.8,3.5,33.4,20.9,1.2,10.0,0.3,,,,,,,,,
65,jiomart_wheafree_wheafree_gluten_free_butter_namkeen_cookies_pack_of_3_200g_each_no_maida_tasty_crunchy_and_,"Wheafree Gluten Free Butter Namkeen Cookies - Pack of 3 (200g each) | No Maida | Tasty, Crunchy and Flavoured Cookies | Best Tea Time Snacks | 100% Vegetarian",Wheafree,snacks,biscuit,200.0,g,405.0,jiomart,550.0,64.0,12.0,4.0,26.0,14.0,2.0,250.0,3.0,,,,,,,,,
66,jiomart_kinder_kinder_joy_creamy_milky_crunchy_chocolate_19_g,Kinder Joy Creamy Milky & Crunchy Chocolate 19 g,Kinder,chocolate,chocolate,19.0,g,25.0,jiomart,,43.2,36.5,3.8,18.4,12.1,0.6,,0.2,,30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
67,jiomart_tilsona_tilsona_gold_til_oil_1_l,Tilsona Gold Til Oil 1 L,Tilsona,essentials,oil,1.0,L,389.0,jiomart,884.0,0.0,0.0,0.0,99.9,8.5,0.0,0.0,0.0,,,,,,,,,
68,jiomart_flavour_spot_flavour_spot_mamra_almonds_premium_kashmiri_badam_giri_high_in_protein_omega3_energy_na,"Flavour Spot Mamra Almonds | Premium Kashmiri Badam Giri | High in Protein, Omega-3 & Energy | Natural & Crunchy Dry Fruit | 250g Jar Pack",Flavour Spot,essentials,dry-fruits-nuts,1.0,kg,615.0,jiomart,575.0,21.6,5.2,22.1,45.3,4.8,9.6,0.5,0.2,,,,,,,,,
69,jiomart_triangle_triangle_1_kg_premium_white_walnut_kernels_extra_light_halves_akhrot_giri_fresh_crop_lowest,Triangle 1 Kg Premium White Walnut Kernels Extra Light Halves Akhrot Giri Fresh Crop Lowest Price,Triangle,essentials,dry-fruits-nuts,1.0,kg,769.0,jiomart,,18.4,2.1,14.6,44.3,9.5,0.8,2.0,0.4,"White Walnut Kernels, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
70,jiomart_postman_postman_filtered_groundnut_oil_2l_refined_groundnut_oil_1l_mustard_oil_1l,Postman Filtered Groundnut Oil 2L & Refined Groundnut Oil 1L & Mustard Oil 1L,Postman,essentials,oil,2.0,L,1080.0,jiomart,120.0,0.0,0.0,0.5,14.0,8.0,0.0,1.0,0.0,,,,,,,,,
71,jiomart_trinetra_trinetra_sugar_5_kg,Trinetra Sugar 5 kg,Trinetra,essentials,salt-sugar,5.0,kg,439.0,jiomart,,,10.5,0.1,0.2,0.1,0.0,,7.0,,,,,,,,,
72,jiomart_ritually_pure_ritually_pure_100_organic_yellow_moong_daal_moong_mogar_500_gm_pack,Ritually Pure 100% Organic | Yellow Moong Daal | Moong Mogar | 500 Gm Pack,Ritually Pure,essentials,pulses,500.0,g,209.0,jiomart,356.0,74.2,1.4,9.3,0.7,0.5,3.2,1.0,0.8,,,,,,,,,
73,jiomart_unibic_unibic_snappers_cream_n_onion_potato_crackers_280_g,Unibic Snappers Cream n Onion Potato Crackers 280 g,Unibic,snacks,biscuit,280.0,g,71.0,jiomart,375.0,55.0,4.0,3.5,18.0,10.0,1.0,350.0,2.5,,,,,,,,,
74,jiomart_aakash_namkeen_aakash_namkeen_clove_spice_laung_sev_900g,Aakash Namkeen Clove Spice Laung Sev 900g,Aakash Namkeen,snacks,chips-namkeen,900.0,g,280.0,jiomart,370.0,47.5,4.8,3.2,20.6,11.9,0.5,350.0,1.8,,,,,,,,,
75,jiomart_klf_tilnad_klf_tilnad_100_pure_sesame_oil_1_liter_pet_pouch,KLF Tilnad 100% Pure Sesame Oil 1 Liter Pet Pouch,Klf Tilnad,essentials,oil,1.0,L,407.0,jiomart,,,,,89.0,7.5,3.8,0.1,0.01,,,,,,,,,
76,jiomart_gits_gits_dosai_mix_500_g,Gits Dosai Mix 500 g,Gits,ready_to_eat,ready-to-eat,500.0,g,126.0,jiomart,380.0,64.0,4.0,6.0,14.0,8.0,2.0,350.0,3.0,,,,,,,,,
77,jiomart_organic_tattva_organic_tattva_organic_urad_dal_black_split_500g_urad_dal_chilka_rich_in_protein_natu,"Organic Tattva, Organic Urad Dal Black Split, 500g | Urad Dal Chilka | Rich in Protein | Naturally Gluten Free | Unpolished | Pesticide and Chemical Free | Pack of 2",Organic Tattva,essentials,pulses,500.0,g,272.0,jiomart,,70.8,2.7,15.4,0.9,0.3,6.8,0.5,0.2,,,,,,,,,
78,jiomart_kesarco_kesarco_roasted_salted_pistachios_500gm,KesarCo Roasted & Salted Pistachios 500gm,Kesarco,essentials,dry-fruits-nuts,500.0,g,521.0,jiomart,,,,,55.0,8.5,4.0,1.0,2.5,,,,,,,,,
79,jiomart_puramio_puramio_culinary_liquid_food_essence_combo_pack_of_6_30ml_each,"Puramio Culinary Liquid Food Essence, Combo- (Pack of 6 (30ml each))",Puramio,flavourings,pickles-chutney,30.0,ml,270.0,jiomart,,,,,0.5,0.3,0.2,200.0,1.0,,,,,,,,,
