batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
11,jiomart_kwik_snack_kwik_snack_ott12oats_super_oats_pouch_pouch_200_g,kwik snack (OTT12-Oats) Super Oats Pouch Pouch (200 g),Kwik Snack,snacks,breakfast,200.0,g,157.0,jiomart,370.0,65.0,10.0,5.0,12.0,3.5,2.0,150.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_kwik_snack_kwik_snack_ott12oats_super_oats_pouch_pouch_200_g
12,jiomart_surya_surya_500g_mixveg_pickle_home_made_taste,Surya 500g MixVeg Pickle | Home made Taste,Surya,flavourings,pickles-chutney,500.0,g,195.0,jiomart,350.0,15.0,8.0,2.0,20.0,10.0,1.0,200.0,5.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_surya_surya_500g_mixveg_pickle_home_made_taste
13,jiomart_nutra_vita_nutra_vita_freeze_dried_fine_cheese_flakes_grated_cheese_200_g,Nutra Vita Freeze Dried fine Cheese Flakes (Grated Cheese) 200 g,Nutra Vita,dairy,cheese-paneer,200.0,g,589.0,jiomart,364.0,2.5,1.3,18.6,24.4,14.9,0.2,300.0,1.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_nutra_vita_nutra_vita_freeze_dried_fine_cheese_flakes_grated_cheese_200_g
14,jiomart_bevzilla_bevzilla_200_gram_100_arabica_instantpremium_french_vanilla_make_100_cups_espresso_latte_ca,"Bevzilla 200 Gram 100% Arabica Instant(Premium French Vanilla) | Make 100 Cups | Espresso, Latte & Cappucino| Hot & Cold Coffee | Unbreakable Jar",Bevzilla,beverage,tea-cofee,200.0,g,379.0,jiomart,,2.5,1.8,0.7,1.3,0.9,0.2,,0.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_bevzilla_bevzilla_200_gram_100_arabica_instantpremium_french_vanilla_make_100_cups_espresso_latte_ca
15,jiomart_catch_catch_coriander_powder_100_g,Catch Coriander Powder 100 g,Catch,essentials,masala,100.0,g,26.0,jiomart,378.0,12.2,1.5,6.3,24.8,15.9,0.4,1.2,0.6,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_catch_catch_coriander_powder_100_g
16,jiomart_the_oil_factory_the_oil_factory_extra_light_olive_oil_ideal_for_all_indian_cooking_imported_from_spa,"The Oil Factory Extra Light Olive Oil, Ideal for All Indian Cooking, (Imported from Spain) - 2 LTR Pet Bottle",The Oil Factory,essentials,oil,2.0,L,699.0,jiomart,890.0,2.5,0.1,0.3,93.8,9.4,0.2,0.1,0.01,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_the_oil_factory_the_oil_factory_extra_light_olive_oil_ideal_for_all_indian_cooking_imported_from_spa
17,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_23,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *23,Choyo,noodles_pasta,noodles-pasta,,,1800.0,jiomart,,,,3.5,2.1,0.8,0.4,350.0,0.6,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_23
18,jiomart_bingo_bingo_mad_angles_achaari_masti_60_g,Bingo Mad Angles Achaari Masti 60 g,Bingo,snacks,chips-namkeen,60.0,g,16.0,jiomart,375.0,24.0,7.0,2.0,19.0,9.0,1.0,350.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_bingo_bingo_mad_angles_achaari_masti_60_g
19,jiomart_health_fields_healthfields_organic_arhar_dal_1kg,HealthFields Organic Arhar Dal 1Kg,Health Fields,essentials,pulses,1.0,kg,490.0,jiomart,369.0,74.3,2.9,16.4,1.8,0.7,6.3,2.5,0.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_health_fields_healthfields_organic_arhar_dal_1kg
20,jiomart_nakoda_nakoda_nourish_golden_blend_oil,Nakoda Nourish Golden Blend Oil,Nakoda,essentials,oil,,,945.0,jiomart,,,,,14.0,8.5,0.1,0.2,0.05,,,,,,,jiomart_nakoda_nakoda_nourish_golden_blend_oil
21,jiomart_luvit_luvit_smackers_chocolate_flavoured_lollipops_4_exciting_flavours_for_kids_chocolate_butterscot,"LuvIt Smackers Chocolate Flavoured Lollipops | 4 exciting Flavours for Kids (Chocolate Butterscotch, Chocolate Vanilla, Chocolate Strawberry & Chocolate) | Pack of 1 - 480g",Luvit,chocolate,chocolate,4.0,exciting,209.0,jiomart,,40.0,34.0,2.0,14.0,10.0,1.0,,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_luvit_luvit_smackers_chocolate_flavoured_lollipops_4_exciting_flavours_for_kids_chocolate_butterscot
22,jiomart_organic_anand_orgnic_anand_100_natural_panchmel_pickle_beetroot_mooli_matar_gajar_gobhi_shalgam_ka_a,"Orgnic Anand | 100% Natural Panchmel Pickle | Beetroot, Mooli, Matar Gajar, Gobhi, Shalgam ka Achar | Homemade Mixed Pickle |350gm Jar",Organic Anand,flavourings,pickles-chutney,350.0,g,309.0,jiomart,50.0,10.0,8.0,2.0,3.0,1.0,0.5,200.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_organic_anand_orgnic_anand_100_natural_panchmel_pickle_beetroot_mooli_matar_gajar_gobhi_shalgam_ka_a
23,jiomart_taste_good_taste_good_karela_biscuits_high_fiber_tasty_and_healthy_sugar_free_snacks_3000_g_pack_of_,"Taste Good Karela Biscuits High Fiber, Tasty and Healthy Sugar Free Snacks, 3000 g - Pack of 30",Taste Good,snacks,biscuit,3000.0,g,1199.0,jiomart,360.0,45.0,4.0,7.0,18.0,10.0,9.0,250.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_taste_good_taste_good_karela_biscuits_high_fiber_tasty_and_healthy_sugar_free_snacks_3000_g_pack_of_
24,jiomart_ksetrikagrha_ksetrikagrha_husking_jeera_kathi_rice_5kg,Ksetrikagrha Husking Jeera Kathi Rice 5kg,Ksetrikagrha,essentials,rice,5.0,kg,1195.0,jiomart,370.0,75.6,1.2,4.7,0.3,0.1,0.6,2.5,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_ksetrikagrha_ksetrikagrha_husking_jeera_kathi_rice_5kg
25,jiomart_ahaar_ahaar_2_kg_maize_flourmakki_atta_500gm_each_x_4_pack,Ahaar 2 Kg Maize Flour/Makki Atta (500gm each X 4 pack),Ahaar,essentials,flour,2.0,kg,248.0,jiomart,,,,,,,,,,,,,,,,jiomart_ahaar_ahaar_2_kg_maize_flourmakki_atta_500gm_each_x_4_pack
26,jiomart_manna_manna_health_mix_instant_200g_millets_spinach_carrot_dal_milk_baby_food_baby_cereal,"Manna Health Mix Instant 200g, Millets, Spinach, Carrot, Dal & Milk | Baby Food | Baby Cereal",Manna,baby,baby,200.0,g,161.0,jiomart,370.0,60.0,10.0,8.0,15.0,3.0,2.0,250.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_manna_manna_health_mix_instant_200g_millets_spinach_carrot_dal_milk_baby_food_baby_cereal
27,jiomart_derista_sonai_derista_cheese_slices_450_g_pack,Sonai Derista Cheese Slices 450 g (Pack),Derista,dairy,cheese-paneer,450.0,g,205.0,jiomart,550.0,7.5,2.8,22.4,38.6,24.1,0.5,350.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_derista_sonai_derista_cheese_slices_450_g_pack
28,jiomart_rice_villa_device_of_shield_paddy_tree_rice_villa_pure_gobindo_bhog_rice_jeera_kasala_10_kg,RICE VILLA PURE| GOBINDO BHOG RICE JEERA KASALA 10 KG,"|Rice Villa, Device Of Shield, Paddy Tree",essentials,rice,10.0,kg,2449.0,jiomart,,75.5,1.2,3.8,0.7,0.4,0.6,1.2,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_rice_villa_device_of_shield_paddy_tree_rice_villa_pure_gobindo_bhog_rice_jeera_kasala_10_kg
29,jiomart_momsy_momsy_premium_special_moong_papad_100_natural_and_handmade_moong_dal_papad_200gm,Momsy Premium Special Moong Papad - 100% Natural and Handmade | Moong dal papad (200gm),Momsy,ready_to_eat,ready-to-eat,200.0,g,185.0,jiomart,,18.4,2.8,3.7,0.9,0.6,1.4,,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_momsy_momsy_premium_special_moong_papad_100_natural_and_handmade_moong_dal_papad_200gm
30,jiomart_goshudh_goshudh_chana_sattu_250_g_roasted_chana_powder,Goshudh Chana Sattu 250 g Roasted Chana Powder,Goshudh,essentials,flour,250.0,g,160.0,jiomart,360.0,60.0,10.0,15.0,5.0,1.2,4.0,200.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_goshudh_goshudh_chana_sattu_250_g_roasted_chana_powder
31,jiomart_dhampur_green_dhampur_green_white_sugar_sachets_5g_200pcs_1kg_pack,Dhampur Green White Sugar Sachets 5g (200pcs) -1KG pack,Dhampur Green,essentials,salt-sugar,5.0,g,249.0,jiomart,,99.9,97.7,0.1,0.2,0.1,,0.01,0.02,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_dhampur_green_dhampur_green_white_sugar_sachets_5g_200pcs_1kg_pack
32,jiomart_kush_gold_kush_gold_himalayan_pink_salt_for_cooking_enriched_with_84_minerals_gulabi_namak_1kg_pack,Kush Gold Himalayan Pink Salt for Cooking Enriched With 84 Minerals / Gulabi Namak (1Kg Pack),Kush Gold,essentials,salt-sugar,84.0,Minerals,234.0,jiomart,,,,,0.1,0.05,,84000.0,84.0,,,,,,,jiomart_kush_gold_kush_gold_himalayan_pink_salt_for_cooking_enriched_with_84_minerals_gulabi_namak_1kg_pack
33,jiomart_kwality_kwality_choco_flakes_1kg_pouch_and_muesli_crunchy_almond_and_raisins_400g_box,Kwality choco Flakes 1Kg Pouch and Muesli Crunchy Almond and Raisins 400g box,Kwality,snacks,breakfast,1.0,kg,699.0,jiomart,550.0,75.0,15.0,10.0,25.0,12.0,2.0,350.0,0.5,"Wheat Flour, Sugar, Cocoa Powder, Flakes, Muesli Crunchy Almond and Raisins",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_kwality_kwality_choco_flakes_1kg_pouch_and_muesli_crunchy_almond_and_raisins_400g_box
34,jiomart_organic_tattva_organic_tattva_bajra_flour_500_g,Organic Tattva Bajra Flour 500 g,Organic Tattva,essentials,flour,500.0,g,60.0,jiomart,,65.0,2.5,12.0,3.0,1.5,4.0,,0.2,"Bajra Flour, Mustard Oil, Jaggery",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_organic_tattva_organic_tattva_bajra_flour_500_g
35,jiomart_good_life_good_life_besan_500_g,Good Life Besan 500 g,Good Life,essentials,flour,500.0,g,50.0,jiomart,,64.1,2.3,9.8,0.7,0.5,4.1,,0.2,"Besan (Chickpea Flour), Mustard Oil, Salt",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_good_life_good_life_besan_500_g
36,jiomart_pink_delight_pink_delight_kuttu_atta_rajgiri_atta_sanwak_singhada_atta_200_gm_each_pack_of_4_800_gm,Pink Delight Kuttu Atta | Rajgiri Atta | Sanwak | Singhada Atta | 200 Gm Each | Pack of 4 | 800 Gm,Pink Delight,essentials,flour,200.0,g,299.0,jiomart,,64.5,6.2,7.1,0.8,0.4,3.5,10.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_pink_delight_pink_delight_kuttu_atta_rajgiri_atta_sanwak_singhada_atta_200_gm_each_pack_of_4_800_gm
37,jiomart_everest_everest_tikhalal_chilli_powder_500_g,Everest Tikhalal Chilli Powder 500 g,Everest,essentials,masala,500.0,g,234.0,jiomart,370.0,57.5,10.5,6.2,26.8,15.1,0.9,350.0,7.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_everest_everest_tikhalal_chilli_powder_500_g
38,jiomart_the_whole_truth_the_whole_truth_supersaver_pack_dark_chocolate_peanut_butter_925_g_crunchy_no_added_,The Whole Truth - Supersaver Pack | Dark Chocolate Peanut Butter | 925 g | Crunchy | No Added Sugar | No Artificial Sweeteners | No Gluten | No Preservatives | 100% natural protein source,The Whole Truth,spread,sauce-ketchup-butter,925.0,g,764.0,jiomart,575.0,24.5,12.2,10.3,34.8,18.1,0.5,250.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_the_whole_truth_the_whole_truth_supersaver_pack_dark_chocolate_peanut_butter_925_g_crunchy_no_added_
39,jiomart_organic_purify_organic_purify_icing_sugar_pure_ultra_fine_5kg,"Organic Purify Icing Sugar,[ Pure & Ultra Fine ] 5KG",Organic Purify,essentials,salt-sugar,5.0,kg,899.0,jiomart,,36.5,35.8,0.1,0.2,0.0,0.0,0.02,0.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_organic_purify_organic_purify_icing_sugar_pure_ultra_fine_5kg
40,jiomart_easy_kitchen_easy_kitchen_ready_to_eat_cook_boiled_american_sweet_corn_pack_of_5_325_g_each_1625gm,Easy Kitchen Ready to Eat / Cook - Boiled American Sweet Corn - (Pack of 5 - 325 g Each) 1625gm,Easy Kitchen,ready_to_eat,ready-to-eat,325.0,g,481.0,jiomart,69.0,15.2,1.4,2.3,0.6,0.3,0.5,1.0,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_easy_kitchen_easy_kitchen_ready_to_eat_cook_boiled_american_sweet_corn_pack_of_5_325_g_each_1625gm
41,jiomart_go_kitchen_go_kitchen_lotus_seedsfox_nuts_big_size_phool_makhana_fresh_fox_nuts_healthy_snacks_ready,"GO KITCHEN Lotus Seeds/Fox Nuts Big Size Phool Makhana Fresh Fox Nuts, Healthy Snacks, Ready to Eat & Cook Foxnuts, Raw Popped Lotus Seeds Makhanas (Pop/Gorgon Nut Puffed Kernels) (1KG)",Go Kitchen,essentials,dry-fruits-nuts,1.0,kg,1295.0,jiomart,,24.2,1.5,6.3,0.8,0.4,2.9,,0.1,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_go_kitchen_go_kitchen_lotus_seedsfox_nuts_big_size_phool_makhana_fresh_fox_nuts_healthy_snacks_ready
42,jiomart_derby_derby_yummy_sour_lovers_center_filled_shocker_candy_tamarind_lemon_cola_candies_party_packretu,"Derby Yummy Sour Lovers Center Filled Shocker Candy (Tamarind, Lemon, Cola) Candies Party Pack/Return Gifts for Birthday to Your Family and Friends (166 Candies) | Pack Of 2",Derby,chocolate,chocolate,166.0,Candies,315.0,jiomart,,45.0,25.0,2.0,15.0,10.0,0.5,,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_derby_derby_yummy_sour_lovers_center_filled_shocker_candy_tamarind_lemon_cola_candies_party_packretu
43,jiomart_chataka_tales_chataka_tales_green_chilli_picklemildly_bold_perfectly_zesty_100_gm,"Chataka Tales Green Chilli PickleMildly Bold, Perfectly Zesty 100 GM",Chataka Tales,flavourings,pickles-chutney,100.0,g,125.0,jiomart,50.0,10.0,5.0,1.0,8.0,2.0,0.5,200.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_chataka_tales_chataka_tales_green_chilli_picklemildly_bold_perfectly_zesty_100_gm
44,jiomart_add_me_add_me_homemade_aamle_ki_meethi_chutney450gm_sweet_amla_chutney_pickle_without_oil_450_g,Add me Homemade Aamle Ki Meethi Chutney###450gm Sweet amla Chutney Pickle Without Oil 450 G,Add Me,flavourings,pickles-chutney,450.0,g,199.0,jiomart,10.0,24.5,20.0,0.2,0.1,0.01,0.8,10.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_add_me_add_me_homemade_aamle_ki_meethi_chutney450gm_sweet_amla_chutney_pickle_without_oil_450_g
45,jiomart_trinetra_trinetra_black_salt_2_kg_kala_namak,Trinetra Black Salt 2 kg Kala Namak,Trinetra,essentials,salt-sugar,2.0,kg,325.0,jiomart,,,0.1,0.1,0.2,0.1,0.0,960.0,95.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_trinetra_trinetra_black_salt_2_kg_kala_namak
46,jiomart_savour_savour_macaroni_400g_pack_of_6_400g_x_6,"SAVOUR MACARONI 400G PACK OF 6, 400G X 6",Savour,noodles_pasta,noodles-pasta,400.0,g,356.0,jiomart,,,,3.8,1.2,0.7,0.6,0.4,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_savour_savour_macaroni_400g_pack_of_6_400g_x_6
47,jiomart_pintola_pintola_all_natural_cashew_butter_1kg_unsweetened_19g_high_in_protein_4g_fiber_vegan_gluten_,"Pintola All Natural Cashew Butter 1kg, Unsweetened, 19g High in Protein, 4g Fiber, Vegan, Gluten Free, No Preservative, Healthy Spread",Pintola,spread,sauce-ketchup-butter,1.0,kg,1760.0,jiomart,,22.4,3.8,19.0,14.2,6.5,4.0,,0.1,"Cashew, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_pintola_pintola_all_natural_cashew_butter_1kg_unsweetened_19g_high_in_protein_4g_fiber_vegan_gluten_
48,jiomart_parle_parle_monaco_jeffs_zeera_biscuits_200_g,Parle Monaco Jeffs Zeera Biscuits 200 g,Parle,snacks,biscuit,200.0,g,57.0,jiomart,369.0,54.0,13.0,4.0,16.0,8.0,1.0,350.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_parle_parle_monaco_jeffs_zeera_biscuits_200_g
49,jiomart_nutra_vita_nutra_vita_pizza_cheese_powder100_gram,Nutra Vita Pizza Cheese Powder(100 Gram),Nutra Vita,dairy,cheese-paneer,100.0,g,299.0,jiomart,550.0,5.0,1.0,10.0,38.0,20.0,0.5,150.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_nutra_vita_nutra_vita_pizza_cheese_powder100_gram
50,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_34,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *34,Choyo,noodles_pasta,noodles-pasta,,,2400.0,jiomart,375.0,65.0,3.0,10.0,12.0,4.0,2.0,350.0,1.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_34
