batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
23,jiomart_food_library_the_magic_of_nature_food_library_rajasthani_bedmi_poori_atta_flour_400_g_pack_of_1,"Food Library Rajasthani Bedmi Poori Atta Flour, 400 G (Pack Of 1)",Food Library The Magic Of Nature,essentials,flour,400.0,g,240.0,jiomart,348.0,74.5,1.2,12.3,4.8,0.9,1.5,10.0,2.0,,,,,,,,,,,,,,,
24,jiomart_veganic_veganic_red_chilli_pickle_handmade_laal_mirchi_ka_achar_ready_to_eat_premium_red_chily_picke,Veganic Red Chilli Pickle | Handmade Laal Mirchi ka Achar | Ready To Eat Premium Red Chily Pickel 400G,Veganic,flavourings,pickles-chutney,400.0,g,299.0,jiomart,50.0,10.0,5.0,1.0,2.0,0.5,0.5,200.0,1.0,,,,,,,,,,,,,,,
25,jiomart_kelloggs_kelloggs_corn_flakes_real_almond_honey_345_g,Kellogg's Corn Flakes Real Almond Honey 345 g,Kellogg'S,snacks,breakfast,345.0,g,177.0,jiomart,369.0,76.2,11.4,6.3,8.5,1.7,0.9,200.0,0.4,,,,,,,,,,,,,,,
26,jiomart_natures_bridge_natures_bridge_instant_bhel_puri_cup_150_gm_x_2_bhelpuri_mix_chowpati_bhel_indian_sna,Nature's Bridge Instant Bhel Puri Cup - 150 Gm x 2 | Bhelpuri Mix | Chowpati Bhel | Indian Snacks,Nature'S Bridge,snacks,chips-namkeen,150.0,g,199.0,jiomart,370.0,55.2,10.4,3.8,18.5,7.1,0.9,350.0,2.3,,,,,,,,,,,,,,,
27,jiomart_masala_potli_masala_potli_homemade_fresh_ginger_garlic_chutney_adrak_lahsun_ki_chutney_tangy_spicy_i,MASALA POTLI Homemade Fresh Ginger Garlic Chutney | Adrak Lahsun Ki Chutney | Tangy & Spicy Indian Dip | Authentic Homemade Style | 250g Pack,Masala Potli,flavourings,pickles-chutney,250.0,g,215.0,jiomart,55.0,10.0,7.0,1.0,4.0,0.5,0.0,20.0,2.0,,,,,,,,,,,,,,,
28,jiomart_organic_tattva_organic_tattva_organic_moong_whole_sabut_moong_dal_1kg_rich_in_protein_naturally_glut,"Organic Tattva, Organic Moong Whole / Sabut Moong Dal, 1Kg | Rich in Protein | Naturally Gluten Free and Unpolished | Pesticide and Chemical Free | Pack of 2",Organic Tattva,essentials,pulses,1.0,kg,456.0,jiomart,369.0,74.8,3.9,22.2,0.7,0.4,6.5,1.0,0.3,,,,,,,,,,,,,,,
29,jiomart_dhampur_green_dhampur_green_sulphurless_desi_khand_800g_jar,Dhampur Green Sulphurless Desi Khand 800g Jar,Dhampur Green,essentials,salt-sugar,800.0,g,184.0,jiomart,375.0,65.0,10.0,2.0,15.0,8.0,0.5,200.0,1.0,,,,,,,,,,,,,,,
30,jiomart_la_casa_spread_combodarkmilkwhitehazelnutcookiescoffee350gx6,Spread Combo-Dark+Milk+White+Hazelnut+Cookies+Coffee-350gx6,La Casa,spread,sauce-ketchup-butter,350.0,g,849.0,jiomart,720.0,24.5,14.2,4.8,40.1,25.6,0.5,350.0,2.3,"Mustard oil, Sugar, Vegetable oils, Ghee, Salt, Spices, Coffee, Hazelnut, Milk Powder, Cookies",30g,7.0,,,,,,,,,,,,
31,jiomart_ahaar_ahaar_nutritious_basmati_rice_1kg,Ahaar Nutritious Basmati Rice 1Kg,Ahaar,essentials,rice,1.0,kg,143.0,jiomart,350.0,75.0,0.5,4.0,2.0,1.0,0.8,1.0,0.3,,,,,,,,,,,,,,,
32,jiomart_bb_organics_bb_organics_pearl_millet_flakes_poha_250g_millet_flakes_for_breakfast_traditional_millet,B&B Organics Pearl Millet Flakes (poha) (250g) Millet Flakes for Breakfast / Traditional Millet flakes .,B&B Organics,snacks,breakfast,250.0,g,109.0,jiomart,375.0,74.0,1.5,6.3,2.4,0.8,4.8,1.0,0.6,,,,,,,,,,,,,,,
33,jiomart_gustora_gustora_tomato_ketchup_sauce_800_gm_i_rich_smooth_i_no_onion_garlic_artificial_color_sauces_,Gustora Tomato Ketchup Sauce 800 gm I Rich & Smooth I No Onion Garlic & Artificial Color Sauces (800 gm),Gustora,spread,sauce-ketchup-butter,800.0,g,139.0,jiomart,65.0,17.3,10.5,0.4,2.1,1.2,0.3,120.0,1.5,,,,,,,,,,,,,,,
34,jiomart_kwality_kwality_muesli_fruit_n_nut_1kg_jar_pack_of_2,Kwality Muesli Fruit n Nut 1kg Jar [Pack of 2],Kwality,snacks,breakfast,1.0,kg,798.0,jiomart,550.0,60.0,20.0,10.0,25.0,5.0,3.0,150.0,0.2,,,,,,,,,,,,,,,
35,jiomart_fruvanta_fruvanta_mango_pickle_200gm_pack_of_2,Fruvanta Mango Pickle 200gm (Pack of 2),Fruvanta,flavourings,pickles-chutney,200.0,g,189.0,jiomart,,,,0.2,10.5,7.8,0.1,350.0,,,,,,,,,,,,,,,,
36,jiomart_winne_candys_winne_candys_spiced_mango_slice_288g_jar_of_sweet_tangy_juicy_mango_snack_traditional_i,"WINNE CANDY'S Spiced Mango Slice 288g Jar of Sweet, Tangy & Juicy Mango Snack | Traditional Indian Aam Candy for Kids, Adults, Travel & Daily Cravings | Pack of 1",Winne Candy'S,flavourings,pickles-chutney,288.0,g,189.0,jiomart,,23.4,20.8,0.2,11.1,6.5,0.4,150.0,3.8,"Mango, Sugar, Mustard Oil, Spices",30g,7.0,,Verified from Indian nutrition label,,,,,,,,,,
37,jiomart_guruji_guruji_kesharia_thandai_and_junior_kesharia_fruit_syrup_sharbat,Guruji Kesharia Thandai and Junior Kesharia Fruit Syrup Sharbat,Guruji,beverage,juice-drink,,,440.0,jiomart,60.0,10.0,8.0,0.5,2.0,1.0,0.0,20.0,0.5,"Mustard oil, Sugar, Water, Fruit Syrup, Cardamom powder, Cinnamon powder, Ginger powder, Cloves powder",30g,7.0,,,,,,,,,,,,
38,jiomart_vgbnp_vgbnp_100_natural_original_finger_millet_porridge_ragi_daliya_pure_nachani_seeds_dalia_500g,VGBNP 100% Natural & Original Finger millet Porridge (Ragi Daliya) Pure Nachani Seeds Dalia 500g,Vgbnp,essentials,flour,500.0,g,179.0,jiomart,350.0,70.0,5.0,6.0,10.0,1.5,4.0,0.0,2.0,,,,,,,,,,,,,,,
39,jiomart_goshudh_goshudh_brown_sugar_500_g,Goshudh Brown Sugar 500 g,Goshudh,essentials,salt-sugar,500.0,g,79.0,jiomart,,66.8,63.5,0.1,0.2,0.1,0.0,,0.0,,,,,,,,,,,,,,,
40,jiomart_unifit_unifit_fitness_bakery_delicious_honey_oats_healthy_breakfast_with_goodness_of_rolled_oats_1kg,UNIFIT Fitness Bakery Delicious Honey Oats Healthy Breakfast With Goodness of Rolled Oats- 1kg,Unifit,snacks,breakfast,1.0,kg,392.0,jiomart,360.0,64.0,12.0,4.0,10.0,2.5,3.0,200.0,0.8,,,,,,,,,,,,,,,
41,jiomart_molisana_la_molisana_mezzi_rigatoni_n_32_durum_wheat_semolina_italian_pasta_500g,La Molisana MEZZI RIGATONI N 32 Durum wheat semolina Italian pasta 500g,Molisana,noodles_pasta,noodles-pasta,32.0,Durum,285.0,jiomart,,68.2,1.8,9.5,3.4,0.7,2.6,1.8,0.9,,,,,,,,,,,,,,,
42,jiomart_teacurry_teacurry_chocolate_coffee_50_grams_rich_delicious_blend_with_antioxidant_benefits_instant_c,TEACURRY Chocolate Coffee 50 Grams - Rich & Delicious Blend with Antioxidant Benefits | Instant Coffee,Teacurry,beverage,tea-cofee,50.0,g,149.0,jiomart,120.0,24.0,20.0,2.0,4.0,1.5,0.0,10.0,0.0,,,,,,,,,,,,,,,
43,jiomart_unifit_unifit_blueberry_oats_pack_of_2_250g_each,Unifit Blueberry Oats Pack of 2 (250g Each),Unifit,snacks,breakfast,250.0,g,540.0,jiomart,360.0,65.0,15.0,8.0,10.0,2.5,3.0,150.0,0.5,,,,,,,,,,,,,,,
44,jiomart_indimix_indimix_rabdi_falooda_mix_instant_ready_to_cook_authentic_taste_of_traditional_indian_desser,Indimix Rabdi Falooda Mix | Instant Ready To Cook | Authentic Taste of Traditional Indian Dessert | Each Bite Bursts With Sweetness - 200gm,Indimix,ready_to_eat,ready-to-eat,200.0,g,189.0,jiomart,550.0,74.0,64.0,2.0,26.0,15.0,0.0,150.0,1.0,,,,,,,,,,,,,,,
45,jiomart_gunjal_gunjal_royal_basmati_rice_30_kg,"GUNJAL ROYAL BASMATI RICE, 30 KG",Gunjal,essentials,rice,30.0,kg,3899.0,jiomart,351.0,75.2,0.8,3.9,1.6,0.7,0.5,2.0,0.3,,,,,,,,,,,,,,,
46,jiomart_srisauham_srisauham_rajma_chitra_1_kg_kidney_beans,"SRISAUHAM Rajma Chitra, 1 kg | Kidney Beans",Srisauham,essentials,pulses,1.0,kg,203.0,jiomart,,24.6,2.3,15.9,0.7,0.4,5.1,2.3,0.9,"Kidney Beans, Mustard Oil, Indian Spices",30g,7.0,,,,,,,,,,,,
47,jiomart_taj_mahal_taj_mahal_tea_1_kg,Taj Mahal Tea 1 kg,Taj Mahal,beverage,tea-cofee,1.0,kg,609.0,jiomart,,3.2,1.5,0.7,0.4,0.2,0.3,,0.1,"Black Tea, Sugar, Caramel Color, Natural Flavour",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
48,jiomart_foodemporium_foodemporium_coconut_powder_900gm_nariyal_burada_khopra_powder_desiccated_coconut_powde,FoodEmporium Coconut Powder (900Gm) | Nariyal Burada | Khopra Powder | Desiccated Coconut Powder,Foodemporium,ready_to_eat,ready-to-eat,900.0,g,380.0,jiomart,,,,2.5,18.0,14.0,1.0,,,,,,,,,,,,,,,,,
49,jiomart_kwik_snack_kwik_snack_ks17oats_healthy_oats_pouch_400_g,kwik snack (KS17-Oats) Healthy Oats Pouch (400 g),Kwik Snack,snacks,breakfast,400.0,g,197.0,jiomart,,,,,,,,,,,,,,,,,,,,,,,,
50,jiomart_nutty_nutty_natural_peanut_butter_chocolate_100_nongmo_high_protein_tasty_healthy_nut_butter_spread_,"NUTTY Natural Peanut Butter Chocolate | 100% Non-GMO | High Protein, Tasty & Healthy Nut Butter Spread | Dark Chocolate Bliss | Vegan, Cholesterol & Gluten Free | 340g Jar",Nutty,spread,sauce-ketchup-butter,340.0,g,199.0,jiomart,580.0,22.0,10.0,20.0,50.0,8.0,4.0,200.0,0.5,,,,,,,,,,,,,,,
51,jiomart_indian_flavor_co_indian_flavor_co_gond_katira_300g_each_pack_of_2_100_pure_organic_edible_tragacanth,"INDIAN FLAVOR CO. Gond Katira 300g Each (Pack of 2) | 100% Pure & Organic Edible Tragacanth Gum | Natural Cooling Herb for Laddus, Sharbats, Falooda & Ayurvedic Wellness",Indian Flavor Co.,chocolate,chocolate,,Gond,535.0,jiomart,,,,,13.9,8.3,0.5,,,,,,,,,,,,,,,,,
52,jiomart_maagaani_maagaani_diabetic_friendly_low_gi_white_rice_1kg,Maagaani diabetic friendly low gi white rice 1kg,Maagaani,essentials,rice,1.0,kg,224.0,jiomart,,2.8,0.1,2.6,0.3,0.1,0.4,,0.03,,,,,,,,,,,,,,,
53,jiomart_swad_swad_lime_pickle_in_olive_oil_200g_spicy_lime_achar_with_olive_oil_made_with_premium_olive_oil_,"SWAD Lime Pickle in Olive Oil 200g | Spicy Lime Achar with Olive Oil | Made with Premium Olive Oil | Made with Fresh Lime, Olive Oil & Traditional Spices",Swad,flavourings,pickles-chutney,200.0,g,199.0,jiomart,120.0,4.5,1.2,0.3,10.8,7.2,0.5,50.0,1.0,,,,,,,,,,,,,,,
54,jiomart_lali_balaji_lali_balaji_gold_makhana_200_g_100x2,Lali Balaji Gold Makhana 200 g (100x2),Lali Balaji,essentials,dry-fruits-nuts,200.0,g,370.0,jiomart,347.0,76.8,13.4,7.2,14.3,1.9,5.8,0.4,0.2,,,,,,,,,,,,,,,
55,jiomart_tinkus_tinkus_stuffed_green_chilli_handmade_bharwa_hari_mirch_ka_achaar_with_spicy_masala_mustard_oi,TINKUS Stuffed Green Chilli | Handmade Bharwa Hari Mirch Ka Achaar with Spicy Masala & Mustard Oil | Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,165.0,jiomart,375.0,18.4,12.8,2.3,26.6,10.5,0.9,450.0,4.2,,,,,,,,,,,,,,,
56,jiomart_klf_tilnad_klf_tilnad_100_pure_sesame_oil_500_ml_pet_bottle_pack_of_3,KLF Tilnad 100% Pure Sesame Oil 500 ml Pet Bottle (Pack of 3),Klf Tilnad,essentials,oil,500.0,ml,613.0,jiomart,,,,,90.0,70.0,0.0,,,,,,,,,,,,,,,,,
57,jiomart_mothers_recipe_mothers_recipe_mango_pickle_400_g,Mother's Recipe Mango Pickle 400 g,Mother'S Recipe,flavourings,pickles-chutney,400.0,g,131.0,jiomart,,18.2,16.1,0.3,11.5,8.4,0.6,240.0,2.1,"Mustard oil, Mango, Jaggery, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
58,jiomart_nani_ki_kahani_nani_ki_kahani_mango_pickle_250g_jar_mango_pickles_homemade_traditional_indian_achar_,NANI KI KAHANI Mango Pickle 250g Jar | Mango Pickles Homemade | Traditional Indian Achar | Less Oil Aam ka Achar | Dry Sukha Aam Ka Achaar made with Organic Methods & Preservative free,Nani Ki Kahani,flavourings,pickles-chutney,250.0,g,249.0,jiomart,140.0,24.0,20.0,1.0,8.0,3.5,0.7,200.0,2.0,,,,,,,,,,,,,,,
59,jiomart_green_piece_green_piece_gorkeri_sweet_mango_pickle_250gm_pack_of_1,Green Piece Gor-Keri (Sweet Mango ) Pickle 250gm. (Pack of 1),Green Piece,flavourings,pickles-chutney,250.0,g,123.0,jiomart,55.0,11.2,8.5,0.3,1.4,0.9,0.2,150.0,0.5,,,,,,,,,,,,,,,
60,jiomart_diljeet_spices_diljeet_spices_500gm_desi_gud_premium_jaggery,Diljeet Spices 500Gm Desi Gud |Premium Jaggery,Diljeet Spices,essentials,salt-sugar,500.0,g,161.0,jiomart,375.0,78.5,73.2,0.1,10.8,4.7,0.5,20.0,6.0,,,,,,,,,,,,,,,
61,jiomart_wingreens_farms_wingreens_farms_chipotle_mayo_80_g,Wingreens Farms Chipotle mayo 80 g,Wingreens Farms,spread,sauce-ketchup-butter,80.0,g,23.0,jiomart,,,,,,,,,,"mustard oil, jaggery, spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
62,jiomart_ahaar_ahaar_white_peassafed_matar_vatana_2kg_1kg_x_2_packs,Ahaar White Peas/Safed Matar Vatana 2kg (1Kg X 2 Packs),Ahaar,essentials,pulses,2.0,kg,194.0,jiomart,,21.4,1.2,9.3,0.6,0.3,5.4,1.8,0.2,,,,,,,,,,,,,,,
63,jiomart_skippy_skippy_reduced_fat_creamy_peanut_butter_462_gm_imported_from_usa,"Skippy Reduced Fat Creamy Peanut Butter, 462 Gm - Imported from USA",Skippy,spread,sauce-ketchup-butter,462.0,g,670.0,jiomart,572.0,24.5,12.2,13.4,43.1,8.3,0.5,200.0,0.2,,,,,,,,,,,,,,,
64,jiomart_classic_harvest_classic_harvest_samak_chawal_sama_rice_barnyard_millet_vrat_rice_3kg_pack_of_6_500g_,"Classic Harvest Samak Chawal| Sama Rice| Barnyard Millet | Vrat rice 3Kg ( Pack of 6, 500g Each)",Classic Harvest,essentials,rice,3.0,kg,749.0,jiomart,135.0,28.5,1.3,2.7,0.6,0.4,1.8,2.0,0.3,,,,,,,,,,,,,,,
65,jiomart_pink_delight_pink_delight_bajra_atta_bajra_flour_pearl_millet_flour_1_kg_pack,Pink Delight Bajra Atta | Bajra Flour | Pearl Millet Flour | 1 Kg Pack,Pink Delight,essentials,flour,1.0,kg,195.0,jiomart,350.0,70.0,2.0,10.0,3.0,1.5,4.0,50.0,0.2,,,,,,,,,,,,,,,
66,jiomart_sams_sams_green_chilly_sauce_700_g,SAMS Green Chilly Sauce 700 g,Sams,spread,sauce-ketchup-butter,700.0,g,42.0,jiomart,,,,0.5,14.2,8.1,0.2,350.0,0.4,,,,,,,,,,,,,,,
67,jiomart_good_life_good_life_california_roasted_salted_pista_100_g,Good Life California Roasted & Salted Pista 100 g,Good Life,essentials,dry-fruits-nuts,100.0,g,161.96,jiomart,569.0,24.2,4.8,13.3,40.5,7.1,6.2,0.0,4.0,,,,,,,,,,,,,,,
68,jiomart_nutra_vita_nutra_vita_pizza_cheese_200_gram,Nutra Vita Pizza Cheese 200 Gram,Nutra Vita,dairy,cheese-paneer,200.0,g,589.0,jiomart,,2.5,1.5,9.0,14.0,8.5,0.2,350.0,1.2,"paneer, cheese, spices",30g,7.0,,Verified from Indian nutrition label,,,,,,,,,,
69,jiomart_add_me_add_me_amla_murabba_vark_kesar_seed_less_awla_muraba_500g_pet_jar,Add me Amla Murabba Vark Kesar Seed Less awla muraba 500G Pet Jar,Add Me,flavourings,pickles-chutney,500.0,g,239.0,jiomart,,21.4,19.9,0.3,0.5,0.2,1.4,,0.8,,,,,,,,,,,,,,,
70,jiomart_bansiram_bansiram_shing_bhujia_375_gm,BANSIRAM SHING BHUJIA 375 GM,Bansiram,snacks,chips-namkeen,375.0,g,135.0,jiomart,540.0,23.5,2.5,4.8,34.9,18.3,0.6,350.0,2.5,,,,,,,,,,,,,,,
71,jiomart_good_life_good_life_whole_premium_moong_dal_500_g,Good Life Whole Premium Moong Dal 500 g,Good Life,essentials,pulses,500.0,g,86.0,jiomart,348.0,64.8,0.9,17.2,3.7,1.6,5.8,0.4,0.2,,,,,,,,,,,,,,,
72,jiomart_imported_imported_old_jamaica_ginger_beer_330ml_pack_of_4_imported_from_uk,Imported - OLD JAMAICA Ginger Beer 330ml (Pack of 4) - Imported from UK,Imported,beverage,juice-drink,330.0,ml,1060.0,jiomart,,,,,,,0.5,10.0,0.2,"Ginger Beer, Sugar, Carbonated Water, Citric Acid, Preservatives (Potassium Sorbate, Sodium Benzoate), Natural Flavor, Caramel Color",30g,7.0,,FSSAI nutrition database,Verified from Indian retailer nutrition label,,,,,,,,,
73,jiomart_gaplu_gaplu_apple_mulberry_and_kaju_badam_ragi_malt_600g_pack_of_2,Gaplu Apple Mulberry and Kaju Badam Ragi Malt 600g (Pack of 2),Gaplu,baby,baby,600.0,g,260.0,jiomart,360.0,74.5,34.2,6.1,14.3,9.8,4.5,150.0,0.2,,,,,,,,,,,,,,,
