batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,Here is the extracted nutrition data for CHOYO Chengu Veg Hakka Noodles
63,jiomart_diabliss_diabliss_herbal_cane_sugar_free_from_chemicalsartificial_sweeteners_low_glycemic_index_gi_1,Diabliss Herbal Cane Sugar - Free from Chemicals/Artificial Sweeteners - Low Glycemic Index (GI) - 1Kg Reusable Jar (1Kg (Packof 8)),Diabliss,essentials,salt-sugar,1.0,kg,2242.0,jiomart,,37.8,75.0,0.1,0.2,0.1,0.5,,0.02,,,,,,,
64,jiomart_tilsar_tilsar_400ml_ghani_white_sesame_oil_kolhuchekku_til_oilgingelly_oil_pack_of_2200ml_each_unref,Tilsar 400ml Ghani White Sesame Oil (Kolhu/Chekku Til Oil/Gingelly Oil) - Pack of 2(200ml each) | Unrefined and Filtered,Tilsar,essentials,oil,400.0,ml,279.0,jiomart,,,,,11.3,8.4,0.2,0.1,0.04,,,,,,,
65,jiomart_well_green_well_green_rolled_oats_900_gm_gluten_free_oats_healthy_breakfast_cereal_diet_food_keeps_y,WELL GREEN Rolled Oats 900 gm Gluten Free Oats | Healthy Breakfast Cereal | Diet Food | Keeps you Full till Lunch,Well Green,snacks,breakfast,900.0,g,345.0,jiomart,,64.2,4.3,15.5,1.8,0.9,2.6,,0.4,"Rolled Oats, Mustard Oil, Jaggery",30g,7.0,0.85,Verified from Indian nutrition label,,
66,jiomart_daawat_daawat_biryani_basmati_rice_1_kg,Daawat Biryani Basmati Rice 1 kg,Daawat,essentials,rice,1.0,kg,219.0,jiomart,,2.5,0.4,3.7,0.9,0.6,0.5,,0.2,,,,,,,
67,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_49,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *49,Choyo,noodles_pasta,noodles-pasta,,,2400.0,jiomart,,,,,2.5,1.8,0.5,350.0,0.6,,,,,,,
68,jiomart_diabliss_diabliss_jam_combo_pack_mixed_fruit_pineapple_ginger_guava_225g_each_lowgi_sugar_alternativ,"Diabliss Jam Combo Pack - Mixed Fruit, Pineapple Ginger & Guava (225g Each) | Low-GI Sugar Alternative | No Artificial Sweeteners | Healthy Fruit Spread, Low Glycemic Index | Suitable for Balanced Diet",Diabliss,spread,sauce-ketchup-butter,225.0,g,649.0,jiomart,55.0,12.2,10.5,0.6,1.8,0.9,0.4,10.0,0.2,,,,,,,
69,jiomart_good_life_good_life_roasted_pumpkin_seed_100_g,Good Life Roasted Pumpkin Seed 100 g,Good Life,essentials,dry-fruits-nuts,100.0,g,55.0,jiomart,,,,,56.0,4.2,3.5,,,,,,,,,
70,jiomart_lays_lays_spanish_tomato_tango_potato_chips_67_g,Lay's Spanish Tomato Tango Potato Chips 67 g,Lay'S,snacks,chips-namkeen,67.0,g,26.0,jiomart,362.0,15.5,1.3,2.4,19.8,11.9,0.5,350.0,3.2,,,,,,,
71,jiomart_unibic_unibic_choco_chip_cookies_450_g_5_units_x_90_g,Unibic Choco Chip Cookies 450 g (5 Units x 90 g),Unibic,snacks,biscuit,450.0,g,89.0,jiomart,550.0,65.0,18.0,6.0,29.0,15.0,0.5,350.0,2.0,,,,,,,
72,jiomart_panchtara_panchtara_moraiyobhagarfinger_milletlittle_milletvaraguarikeluharkvarigusamovaribhagarglut,"PANCHTARA Moraiyo/Bhagar/Finger Millet/little Millet/Varagu/Arikelu/Hark/Varigu/Samo/Vari/Bhagar,Gluten-free,Non-GMO,No Trans Fats-500g. (Pack of 2)",Panchtara,essentials,flour,500.0,g,256.0,jiomart,360.0,70.2,1.8,9.6,4.3,0.7,2.5,1.0,0.2,,,,,,,
73,jiomart_kurkure_kurkure_masala_munch_namkeen_75_g,Kurkure Masala Munch Namkeen 75 g,Kurkure,snacks,chips-namkeen,75.0,g,26.0,jiomart,370.0,46.9,8.2,3.5,20.4,12.6,0.7,350.0,2.9,,,,,,,
74,jiomart_eniya_eniya_cold_pressed_groundnut_oil_peanut_oil_kadala_ennai_500ml_pack_of_1,ENIYA Cold pressed Groundnut Oil / Peanut Oil/ Kadala Ennai 500ml Pack of 1,Eniya,essentials,oil,500.0,ml,215.0,jiomart,884.0,4.8,0.2,12.6,91.3,7.5,1.8,0.2,0.02,,,,,,,
75,jiomart_nutribud_foods_nutribud_foods_sprouted_ragi_almonds_peanuts_drink_mix_chocolate_pack_of_2_200g,"Nutribud Foods Sprouted Ragi, Almonds & Peanuts Drink Mix (Chocolate) -- (Pack of 2 * 200g)",Nutribud Foods,baby,baby,200.0,g,698.0,jiomart,375.0,25.5,12.2,10.1,17.3,6.8,4.5,150.0,0.6,,,,,,,
76,jiomart_ksetrikagrha_ksetrikagrha_gobindobhog_rice_10kg,Ksetrikagrha Gobindobhog Rice 10kg,Ksetrikagrha,essentials,rice,10.0,kg,3145.0,jiomart,115.0,24.6,0.8,2.3,1.4,0.7,0.6,0.5,0.2,,,,,,,
