batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
35,jiomart_farmbean_farmbean_himalayan_pink_salt_1_kg,Farmbean Himalayan Pink Salt 1 Kg,Farmbean,essentials,salt-sugar,1.0,kg,249.0,jiomart,,,,,0.0,0.0,0.0,1025.0,99.0,,,,,,,jiomart_farmbean_farmbean_himalayan_pink_salt_1_kg
36,jiomart_sresth_ora_sresth_ora_coldpressed_olive_oil_organic_pure_for_immune_support_healthy_cooking_1l_bottl,"Sresth Ora Cold-pressed Olive Oil: Organic, pure for immune support & healthy cooking (1L bottle)",Sresth Ora,essentials,oil,1.0,L,750.0,jiomart,,0.2,0.1,0.0,14.5,8.3,0.4,,0.1,"Mustard Oil, Olive Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_sresth_ora_sresth_ora_coldpressed_olive_oil_organic_pure_for_immune_support_healthy_cooking_1l_bottl
37,jiomart_sarv_matrikaa_sarv_matrikaa_woodpressed_yellow_mustard_oil_100_natural_cold_pressed_pure_unrefined_c,"SARV MATRIKAA Wood-Pressed Yellow Mustard Oil | 100% Natural & Cold Pressed | Pure, Unrefined & Chemical-Free | Edible Grade for Cooking, Skin & Hair (1 Litre)",Sarv Matrikaa,essentials,oil,1.0,L,320.0,jiomart,,,,0.0,14.8,9.4,0.0,0.0,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_sarv_matrikaa_sarv_matrikaa_woodpressed_yellow_mustard_oil_100_natural_cold_pressed_pure_unrefined_c
38,jiomart_fruvanta_fruvanta_hot_lemon_pickle_200gm_pack_of_2,Fruvanta Hot Lemon Pickle 200gm. (Pack of 2),Fruvanta,flavourings,pickles-chutney,200.0,g,229.0,jiomart,,,,,7.0,1.5,,350.0,2.5,,,,,,,jiomart_fruvanta_fruvanta_hot_lemon_pickle_200gm_pack_of_2
39,jiomart_jivo_jivo_pomace_cooking_edible_olive_oil_5_litre_tin_recommendable_for_roasting_frying_baking_all_t,"Jivo Pomace Cooking Edible Olive Oil 5 Litre Tin | Recommendable for Roasting, Frying, Baking All type of Cuisines| Healthy Cooking Oil for Daily use (Pack of 1)",Jivo,essentials,oil,5.0,L,2415.0,jiomart,,,0.1,,14.2,7.3,0.5,,0.1,,,,,,,jiomart_jivo_jivo_pomace_cooking_edible_olive_oil_5_litre_tin_recommendable_for_roasting_frying_baking_all_t
40,jiomart_wheafree_wheafree_gluten_free_elaichi_cookies_200g_jeera_cookies_200g_ajwain_cookies_200g_combo_pack,"Wheafree Gluten Free Elaichi Cookies (200g), Jeera Cookies (200g) & Ajwain Cookies (200g) Combo Pack | Lactose Free | No Maida | Best Tea Time Snacks",Wheafree,snacks,biscuit,200.0,g,385.0,jiomart,550.0,65.0,15.0,5.0,25.0,10.0,2.0,200.0,3.5,"Mustard Oil, Jaggery, Elaichi Powder, Jeera Powder, Ajwain Seeds, Sugar, Rice Flour, Wheat Flour",30g,7.0,0.75,Verified Indian retailer nutrition label,Enhanced with local LLM - Batch 5,jiomart_wheafree_wheafree_gluten_free_elaichi_cookies_200g_jeera_cookies_200g_ajwain_cookies_200g_combo_pack
41,jiomart_protogrow_protogrow_procelac_fortified_baby_cereal_300g_enriched_with_rice_banana_milk_with_no_added,"ProToGrow Procelac Fortified Baby Cereal 300g | Enriched with Rice, Banana & Milk with No Added Artificial Additives | Packed with 9 Essential Vitamins | Ideal for 6 to 24 Months Baby",Protogrow,baby,baby,300.0,g,365.0,jiomart,370.0,64.5,12.2,6.1,10.3,4.9,0.5,250.0,2.8,"Rice, Banana, Milk",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_protogrow_protogrow_procelac_fortified_baby_cereal_300g_enriched_with_rice_banana_milk_with_no_added
42,jiomart_tummyfriendly_foods_tummyfriendly_foods_certified_organic_sprouted_ragi_porridge_mix_made_of_organic,"TummyFriendly Foods Certified Organic Sprouted Ragi Porridge Mix, Made of Organic Sprouted Ragi for Baby, Rich in Calcium, Iron, Fibre & Micro-Nutrients, 200g/cereals|Cereals",Tummyfriendly Foods,baby,baby,200.0,g,180.0,jiomart,,65.0,5.0,3.0,2.0,1.0,8.0,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_tummyfriendly_foods_tummyfriendly_foods_certified_organic_sprouted_ragi_porridge_mix_made_of_organic
43,jiomart_cocosutra_crunchy_tropical_sunshine_granola_300g_healthy_breakfast_cereal_snack,Crunchy Tropical Sunshine Granola | 300g | Healthy Breakfast Cereal & Snack,Cocosutra,snacks,breakfast,300.0,g,350.0,jiomart,,,12.0,3.0,10.0,2.0,1.0,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_cocosutra_crunchy_tropical_sunshine_granola_300g_healthy_breakfast_cereal_snack
44,jiomart_trinetra_trinetra_basmati_rice_1_kg_500g_x_2_pack,Trinetra Basmati Rice 1 kg (500g X 2 Pack),Trinetra,essentials,rice,1.0,kg,285.0,jiomart,,2.6,0.1,1.7,0.3,0.1,0.4,,0.02,"Basmati Rice, Water",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_trinetra_trinetra_basmati_rice_1_kg_500g_x_2_pack
45,jiomart_jivraj_jivraj_tea_2kg_ctc_tea_assam_tea_black_tea_leaf_tea_chai_patti_tea_powder_2kg_pouch,Jivraj Tea 2kg | CTC Tea | Assam Tea | Black Tea | Leaf Tea | Chai Patti | Tea Powder 2kg Pouch,Jivraj,beverage,tea-cofee,2.0,kg,1099.0,jiomart,,3.5,1.8,0.4,0.2,0.1,0.5,10.0,,"Assam tea leaves, CTC tea leaves, Black tea leaves, Chai patti, Tea powder",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_jivraj_jivraj_tea_2kg_ctc_tea_assam_tea_black_tea_leaf_tea_chai_patti_tea_powder_2kg_pouch
46,jiomart_tinkus_tinkus_green_chilli_handmade_hari_mirch_ka_achaar_pickle_with_spicy_indian_masala_pack_size_2,TINKUS Green Chilli | Handmade Hari Mirch Ka Achaar Pickle with Spicy Indian Masala | Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,220.0,jiomart,60.0,8.0,2.0,0.0,6.0,1.0,0.0,250.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_tinkus_tinkus_green_chilli_handmade_hari_mirch_ka_achaar_pickle_with_spicy_indian_masala_pack_size_2
47,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_chocolate_spread_crunchy_510g_23g_protein_9g_fiber_t,MYFITNESS Peanut Butter Chocolate Spread Crunchy 510g | 23g Protein & 9g Fiber | Tasty & Healthy Nut Butter Spread for Breakfast & Snacks | Cholesterol Free | Zero Trans Fat | Crunchy Peanut Butter,Myfitness Peanut Butter,spread,sauce-ketchup-butter,510.0,g,239.0,jiomart,,24.1,12.2,23.0,16.5,8.3,9.1,,0.4,"Mustard oil, Sugar, Peanuts, Cocoa powder, Salt",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_chocolate_spread_crunchy_510g_23g_protein_9g_fiber_t
48,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_original_peanut_butter_smooth_25_kg,MyFitness Peanut Butter Original Peanut Butter Smooth 2.5 kg,Myfitness Peanut Butter,spread,sauce-ketchup-butter,2.5,kg,998.0,jiomart,572.0,24.5,4.2,8.1,55.3,15.6,0.9,150.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_original_peanut_butter_smooth_25_kg
49,jiomart_chokhi_dhani_chokhi_dhani_foods_lime_pickle_nimbu_ka_aachar_500_gm,Chokhi Dhani Foods Lime Pickle Nimbu ka Aachar 500 gm,Chokhi Dhani,flavourings,pickles-chutney,500.0,g,280.0,jiomart,25.0,10.2,7.1,0.5,13.3,6.9,0.2,150.0,1.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_chokhi_dhani_chokhi_dhani_foods_lime_pickle_nimbu_ka_aachar_500_gm
50,jiomart_good_life_good_life_kasuri_methi_50_g,Good Life Kasuri Methi 50 g,Good Life,essentials,masala,50.0,g,29.0,jiomart,360.0,13.5,2.1,3.6,22.8,14.4,0.5,2.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_good_life_good_life_kasuri_methi_50_g
