id,product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,ingredients_list,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,serving_size,servings_per_container,confidence_score,data_source,processing_notes
13,jiomart_real_real_fruit_power_apple_juice_1_l,Real Fruit Power Apple Juice 1 L,Real,beverage,juice-drink,1.0,L,80.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
14,jiomart_complan_complan_royale_chocolate_nutrition_drink_700_g,Complan Royale Chocolate Nutrition Drink 700 g,Complan,beverage,juice-drink,700.0,g,315.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
15,jiomart_horlicks_horlicks_womens_plus_chocolate_400_g,Horlicks Women's Plus Chocolate 400 g,Horlicks,beverage,juice-drink,400.0,g,283.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
16,jiomart_b_natural_b_natural_litchi_juice_1_l,B Natural Litchi Juice 1 L,B Natural,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
17,jiomart_bournvita_bournvita_chocolate_nutrition_drink_1_kg_jar,Bournvita Chocolate Nutrition Drink 1 Kg Jar,Bournvita,beverage,juice-drink,1.0,kg,447.0,jiomart,"Malted Barley, Wheat Flour, Sugar, Cocoa, Minerals, Vitamins",385,80,35,7,1,0.8,1,260,0.65,30g,33,1.0,Bournvita India official,Verified nutrition from official sources
18,jiomart_real_real_fruit_power_orange_juice_1_l,Real Fruit Power Orange Juice 1 L,Real,beverage,juice-drink,1.0,L,97.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
19,jiomart_bournvita_bournvita_chocolate_nutrition_drink_500_g_jar,Bournvita Chocolate Nutrition Drink 500 g Jar,Bournvita,beverage,juice-drink,500.0,g,249.0,jiomart,"Malted Barley, Wheat Flour, Sugar, Cocoa, Minerals, Vitamins",385,80,35,7,1,0.8,1,260,0.65,30g,33,1.0,Bournvita India official,Verified nutrition from official sources
20,jiomart_b_natural_b_natural_orange_juice_1_l,B Natural Orange Juice 1 L,B Natural,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
21,jiomart_fanta_fanta_orange_300_ml,Fanta Orange 300 ml,Fanta,beverage,juice-drink,300.0,ml,36.0,jiomart,"Carbonated Water, Sugar, Orange Juice Concentrate, Acidity Regulators, Preservatives",44,11,11,0,0,0,0,4,0.01,250ml,3,1.0,Fanta India nutrition label,Verified nutrition from official sources
22,jiomart_real_real_fruit_power_litchi_juice_1_l,Real Fruit Power Litchi Juice 1 L,Real,beverage,juice-drink,1.0,L,87.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
23,jiomart_pb_swing_paper_boat_swing_plus_zesty_pomegranate_juice_600_ml,Paper Boat Swing Plus Zesty Pomegranate Juice 600 ml,Pb Swing,beverage,juice-drink,600.0,ml,40.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
24,jiomart_b_natural_b_natural_guava_juice_1_l,B Natural Guava Juice 1 L,B Natural,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
25,jiomart_real_real_fruit_power_guava_juice_1_l,Real Fruit Power Guava Juice 1 L,Real,beverage,juice-drink,1.0,L,88.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
26,jiomart_hell_hell_energy_drink_watermelon_250_ml_can,Hell Energy Drink Watermelon 250 ml Can,Hell,beverage,juice-drink,250.0,ml,55.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
27,jiomart_real_real_fruit_power_activ_orange_juice_1_l,Real Fruit Power Activ Orange Juice 1 L,Real,beverage,juice-drink,1.0,L,112.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
28,jiomart_patanjali_patanjali_amla_juice_1_l,Patanjali Amla Juice 1 L,Patanjali,beverage,juice-drink,1.0,L,139.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
29,jiomart_real_real_fruit_power_vitamin_boost_guava_juice_1_l,Real Fruit Power Vitamin Boost Guava Juice 1 L,Real,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
30,jiomart_b_natural_b_natural_guava_no_added_sugar_juice_750_ml,B Natural Guava No Added Sugar Juice 750 ml,B Natural,beverage,juice-drink,750.0,ml,74.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
31,jiomart_b_natural_b_natural_apple_juice_1_l,B Natural Apple Juice 1 L,B Natural,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
32,jiomart_real_real_fruit_power_activ_apple_juice_1_l,Real Fruit Power Activ Apple Juice 1 L,Real,beverage,juice-drink,1.0,L,112.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
33,jiomart_protinex_protinex_rich_chocolate_400_g,Protinex Rich Chocolate 400 g,Protinex,beverage,juice-drink,400.0,g,534.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
34,jiomart_horlicks_horlicks_chocolate_delight_200_g,Horlicks Chocolate Delight 200 g,Horlicks,beverage,juice-drink,200.0,g,109.0,jiomart,"Malted Barley, Wheat Flour, Milk Solids, Sugar, Cocoa, Minerals, Vitamins",370,75,33,8,1.2,0.6,2,250,0.625,30g,16,1.0,Horlicks India label,Verified nutrition from official sources
35,jiomart_pediasure_pediasure_chocolate_flavored_nutrition_drink_950_g,Pediasure Chocolate Flavored Nutrition Drink 950 g,Pediasure,beverage,juice-drink,950.0,g,1408.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
36,jiomart_paper_boat_paper_boat_chilli_guava_fruit_juice_200_ml,Paper Boat Chilli Guava Fruit Juice 200 ml,Paper Boat,beverage,juice-drink,200.0,ml,35.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
37,jiomart_red_bull_red_bull_red_edition_watermelon_flavour_energy_drink_250_ml,Red Bull Red Edition Watermelon Flavour Energy Drink 250 ml,Red Bull,beverage,juice-drink,250.0,ml,110.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
38,jiomart_real_real_fruit_power_masala_guava_juice_1_l,Real Fruit Power Masala Guava Juice 1 L,Real,beverage,juice-drink,1.0,L,70.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
39,jiomart_b_natural_b_natural_no_added_sugar_tender_coconut_water_750_ml,B Natural No Added Sugar Tender Coconut Water 750 ml,B Natural,beverage,juice-drink,750.0,ml,69.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
40,jiomart_raw_pressery_raw_pressery_refreshers_aam_mango_juice_750_ml,Raw Pressery Refreshers Aam Mango Juice 750 ml,Raw Pressery,beverage,juice-drink,750.0,ml,92.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
41,jiomart_paper_boat_paper_boat_alphonso_mango_juice_150_ml,Paper Boat Alphonso Mango Juice 150 ml,Paper Boat,beverage,juice-drink,150.0,ml,22.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
42,jiomart_paper_boat_paper_boat_coconut_water_200_ml,Paper Boat Coconut Water 200 ml,Paper Boat,beverage,juice-drink,200.0,ml,49.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
43,jiomart_tropicana_tropicana_guava_delight_fruit_juice_180_ml,Tropicana Guava Delight Fruit Juice 180 ml,Tropicana,beverage,juice-drink,180.0,ml,17.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
44,jiomart_paper_boat_paper_boat_zero_sugar_green_apple_sparkling_water_600_ml,Paper Boat Zero Sugar Green Apple Sparkling Water 600 ml,Paper Boat,beverage,juice-drink,600.0,ml,57.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
45,jiomart_raw_pressery_raw_pressery_coconut_water_200_ml,Raw Pressery Coconut Water 200 ml,Raw Pressery,beverage,juice-drink,200.0,ml,45.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
46,jiomart_bisleri_bisleri_limonata_carbonated_drink_160_ml,Bisleri Limonata Carbonated Drink 160 ml,Bisleri,beverage,juice-drink,160.0,ml,9.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
47,jiomart_paper_boat_paper_boat_anar_fruit_juice_200_ml,Paper Boat Anar Fruit Juice 200 ml,Paper Boat,beverage,juice-drink,200.0,ml,44.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
48,jiomart_tropicana_tropicana_orange_delight_fruit_juice_1_l,Tropicana Orange Delight Fruit Juice 1 L,Tropicana,beverage,juice-drink,1.0,L,115.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
49,jiomart_limca_limca_lime_n_lemon_soft_drink_300_ml,Limca Lime N Lemon Soft Drink 300 ml,Limca,beverage,juice-drink,300.0,ml,38.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
50,jiomart_paper_boat_paper_boat_zero_sugar_peach_sparkling_water_600_ml,Paper Boat Zero Sugar Peach Sparkling Water 600 ml,Paper Boat,beverage,juice-drink,600.0,ml,57.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
